Date,Open,High,Low,Close,Adj Close,Volume
2018-03-27,487.500000,489.450012,477.250000,486.024994,443.029114,2495200
2018-03-28,480.774994,490.799988,477.524994,484.299988,441.456696,4620172
2018-04-02,483.149994,492.450012,482.399994,489.750000,446.424652,1295646
2018-04-03,486.250000,494.500000,481.524994,484.625000,441.752991,2036000
2018-04-04,490.500000,490.625000,474.750000,479.625000,437.195221,1804780
2018-04-05,485.000000,492.100006,478.274994,481.024994,438.471466,2805104
2018-04-06,486.000000,486.000000,475.299988,476.325012,434.187195,2515810
2018-04-09,477.149994,481.325012,474.000000,476.625000,434.460663,1708072
2018-04-10,476.549988,480.975006,471.774994,474.225006,432.273010,2431772
2018-04-11,477.500000,488.850006,475.674988,483.649994,440.864166,3716964
2018-04-12,483.975006,506.500000,483.649994,505.024994,460.348267,8182766
2018-04-13,507.250000,510.000000,494.125000,495.625000,451.779846,6361110
2018-04-16,489.500000,503.375000,488.049988,499.950012,455.722290,3824528
2018-04-17,498.524994,508.000000,498.524994,505.500000,460.781281,3729906
2018-04-18,507.450012,507.899994,496.500000,498.424988,454.332153,2008262
2018-04-19,502.500000,510.750000,499.500000,509.274994,464.222382,2301628
2018-04-20,510.000000,537.099976,509.950012,531.174988,484.184937,9490598
2018-04-23,531.000000,554.000000,527.500000,544.000000,495.875427,9086924
2018-04-24,542.450012,549.875000,529.049988,530.974976,484.002655,3993618
2018-04-25,530.924988,540.750000,523.000000,534.400024,487.124756,3002280
2018-04-26,528.000000,544.174988,525.825012,538.650024,490.998810,6052212
2018-04-27,538.500000,545.325012,517.500000,520.825012,474.750549,4764608
2018-04-30,524.450012,539.500000,522.525024,526.375000,479.809570,3147666
2018-05-02,525.000000,525.974976,497.750000,500.250000,455.995667,15014958
2018-05-03,498.500000,498.500000,460.000000,462.850006,421.904327,15276024
2018-05-04,461.475006,472.000000,453.850006,464.924988,423.795746,8365006
2018-05-07,468.399994,470.325012,460.524994,464.100006,423.043671,2576842
2018-05-08,465.100006,466.500000,453.549988,460.049988,419.351929,4080268
2018-05-09,462.000000,468.325012,460.399994,463.750000,423.645569,2757280
2018-05-10,466.450012,468.950012,463.049988,465.100006,424.878784,3741482
2018-05-11,465.600006,469.125000,465.549988,466.424988,426.089233,2117402
2018-05-14,468.700012,468.700012,460.225006,462.649994,422.640625,3132296
2018-05-15,460.149994,466.350006,455.774994,462.500000,422.503632,4239330
2018-05-16,461.250000,465.450012,458.250000,460.125000,420.334045,1963972
2018-05-17,463.450012,463.450012,452.350006,454.875000,415.537994,2899904
2018-05-18,452.500000,459.000000,443.549988,445.350006,406.836700,3517726
2018-05-21,446.000000,450.274994,443.500000,447.975006,409.234772,2942476
2018-05-22,445.174988,455.850006,444.774994,452.450012,413.322754,2485094
2018-05-23,452.500000,459.200012,445.924988,447.174988,408.503937,3734828
2018-05-24,452.975006,458.950012,450.100006,455.850006,416.428741,6309330
2018-05-25,458.950012,461.924988,456.000000,458.000000,418.392761,2089082
2018-05-28,458.000000,458.500000,445.500000,447.250000,408.572296,2651764
2018-05-29,449.500000,454.750000,447.500000,452.549988,413.414032,1985832
2018-05-30,453.500000,455.899994,448.799988,453.674988,414.441742,2374048
2018-05-31,454.000000,457.399994,450.524994,455.174988,415.812042,5618644
2018-06-01,455.000000,461.950012,450.000000,452.424988,413.299896,1939062
2018-06-04,453.500000,458.450012,449.575012,450.350006,411.404358,1505886
2018-06-05,452.975006,455.100006,440.024994,442.524994,404.256042,2547736
2018-06-06,445.975006,458.899994,445.000000,454.475006,415.172638,2337712
2018-06-07,452.500000,463.000000,452.500000,460.674988,420.836395,2137298
2018-06-08,460.500000,467.950012,458.924988,464.350006,424.193695,2268428
2018-06-11,466.500000,471.250000,453.875000,455.799988,416.383026,4105194
2018-06-12,456.475006,462.000000,455.825012,457.399994,417.844727,2961048
2018-06-13,460.000000,462.899994,457.024994,461.850006,421.909821,2113706
2018-06-14,464.000000,470.000000,460.524994,468.475006,427.961914,3755080
2018-06-15,468.475006,477.000000,465.524994,474.149994,433.146179,6186584
2018-06-18,477.250000,478.674988,465.625000,466.600006,426.249054,2653666
2018-06-19,466.450012,470.274994,457.700012,460.225006,420.425323,2812474
2018-06-20,460.500000,464.375000,453.200012,455.475006,416.086090,2820262
2018-06-21,456.049988,458.500000,449.549988,451.274994,412.249359,3208902
2018-06-22,453.524994,460.899994,450.924988,452.399994,413.276978,4036700
2018-06-25,452.450012,458.750000,452.000000,454.450012,415.149811,4255720
2018-06-26,454.500000,457.750000,453.299988,455.200012,415.834961,3249236
2018-06-27,456.100006,462.500000,455.149994,460.524994,420.699463,5751028
2018-06-28,463.225006,464.975006,452.450012,454.799988,415.469482,13566568
2018-06-29,457.049988,464.375000,456.674988,463.125000,423.074554,6059554
2018-07-02,463.500000,466.225006,460.424988,463.049988,423.006012,1776396
2018-07-03,465.000000,469.950012,458.575012,468.750000,428.213196,2054476
2018-07-04,468.475006,469.250000,462.000000,462.825012,422.800537,1547894
2018-07-05,464.049988,467.750000,460.500000,465.524994,425.266998,3416140
2018-07-06,467.500000,474.774994,461.500000,471.950012,431.136414,5055508
