"Harapan_Lama_Sekolah,Pengeluaran_Perkapita,Rerata_Lama_Sekolah,Usia_Harapan_Hidup,IPM"
"12.57,11736,7.86,68.67,High"
"12.84,12886,8.81,70.63,High"
"13.39,8134,8.25,73.41,Normal"
"15.58,17097,11.43,72.13,Very-High"
"14.51,13786,10.65,71.31,High"
"15.09,13117,10.94,70.92,High"
"13.68,9381,9.13,71.27,High"
"13.76,7324,7.92,68.39,Normal"
"13.8,8218,8.46,70.41,Normal"
"13.01,10151,9.21,70.32,High"
"12.83,12525,8.99,71.21,High"
"12.37,9059,8.11,70.87,Normal"
"11.85,8310,08.04,69.09,Normal"
"13.51,9280,8.16,70.48,Normal"
"12.15,10244,8.22,70.36,Normal"
"12.92,7496,8.93,70.93,Normal"
"13.08,9181,9.3,69.53,High"
"12.69,7753,7.84,72.82,Normal"
"12.32,6738,9.42,68.43,Normal"
"12.51,7502,7.3,70.35,Normal"
"13.12,7244,7.31,67.69,Normal"
"13.24,7279,7.54,67.69,Normal"
"16.89,14356,12.51,73.83,Very-High"
"15.17,10503,10.91,71.25,High"
"13.11,10157,7.9,68.19,Normal"
"12.45,8940,7,69.3,Normal"
"13.18,9412,7.3,67.69,Normal"
"12.38,10409,7.26,64.3,Normal"
"13.65,10198,8.32,68.52,High"
"12.46,9064,7.15,65.93,Normal"
"14.5,12390,10.37,72.53,High"
"12.86,9153,7.96,65.25,Normal"
"13.62,10028,8.91,61.77,Normal"
"13.38,8548,7.44,62.53,Normal"
"12.36,7736,7.88,70.94,Normal"
"13.24,9494,7.96,67.77,Normal"
"11.95,11072,08.09,66.45,Normal"
"12.53,8408,7.51,68.55,Normal"
"13.97,8770,10.03,66.09,Normal"
"12.3,6335,9.69,63.45,Normal"
"12.82,7580,9.76,65.14,Normal"
"14.17,10243,9.68,66.45,High"
"13.04,10347,8.79,66.44,Normal"
"12.31,7623,8.83,62.96,Normal"
"13.48,8720,8.92,61.85,Normal"
"12.77,9480,8.46,59.62,Normal"
"12.35,6918,8.59,62.55,Normal"
"12.7,7600,7.95,66.36,Normal"
"16.04,14148,12.2,70.63,Very-High"
"13.98,7405,10.53,65.68,Normal"
"13.68,8140,09.09,68.45,Normal"
"13.2,7467,8.37,66.34,Normal"
"13.11,7966,09.01,64.15,Normal"
"12.77,7040,9,63.39,Normal"
"12.79,7142,8.1,65.93,Normal"
"13.61,7519,8.62,69.61,Normal"
"12.76,7973,8.27,69.08,Normal"
"12.93,6378,7.4,67.35,Normal"
"12.65,6467,7.67,62.22,Normal"
"15.75,13290,11.81,71.06,Very-High"
"14.32,8316,9.95,69.43,High"
"13.13,7929,7.69,66.14,Normal"
"14.63,7446,8.97,68.5,Normal"
"12.41,8151,8.58,64.93,Normal"
