nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;9.5;"PAPUA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;31.6;PAPUA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perkotaan;2008;Tahunan;12768.5;INDONESIA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;763.9;ACEH
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;852.1;"SUMATERA UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;349.9;"SUMATERA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;321.6;RIAU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;140.2;JAMBI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;734.9;"SUMATERA SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;220.2;BENGKULU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;1226;LAMPUNG
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;50.2;"KEP. BANGKA BELITUNG"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;67.1;"KEP. RIAU"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;-;"DKI JAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;2705;"JAWA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;3633.1;"JAWA TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;292.1;"DI YOGYAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;4340.6;"JAWA TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;445.7;BANTEN
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;100.7;BALI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;520.2;"NUSA TENGGARA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;979.1;"NUSA TENGGARA TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;381.3;"KALIMANTAN BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;154.6;"KALIMANTAN TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;137.8;"KALIMANTAN SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;176.1;"KALIMANTAN TIMUR"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;-;"KALIMANTAN UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;150.9;"SULAWESI UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;463.8;"SULAWESI TENGAH"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;880.9;"SULAWESI SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;408.7;"SULAWESI TENGGARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;194.1;GORONTALO
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;122.8;"SULAWESI BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;346.7;MALUKU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;96;"MALUKU UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;237;"PAPUA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;701.5;PAPUA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Perdesaan;2008;Tahunan;22194.8;INDONESIA
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;959.7;ACEH
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;1613.8;"SUMATERA UTARA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;477.2;"SUMATERA BARAT"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;566.7;RIAU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;260.3;JAMBI
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;1249.6;"SUMATERA SELATAN"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;352;BENGKULU
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;1591.6;LAMPUNG
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;86.7;"KEP. BANGKA BELITUNG"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;136.4;"KEP. RIAU"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;379.6;"DKI JAKARTA"
"Jumlah Penduduk Miskin (Ribu Jiwa) Menurut Provinsi dan Daerah";Jumlah;2008;Tahunan;5322.4;"JAWA BARAT"
